operator,parent,published_estimate,methods,min_redemption,first_redemption,repeat_redemption,terms_effective,source_url,access_date,record_type
Jackpota,Silver Social Operations Limited,Not applicable; no ordinary prize redemption,No ordinary prize redemption,Not applicable; entertainment-only Gold Coins,Not applicable; no ordinary prize redemption,Not applicable; no ordinary prize redemption,2026-07-30,https://www.jackpota.com/,2026-09-10,published_terms
Jackpota,Silver Social Operations Limited,Not applicable; no ordinary prize redemption,No ordinary prize redemption,Not applicable; entertainment-only Gold Coins,Not applicable; no ordinary prize redemption,Not applicable; no ordinary prize redemption,2026-07-30,https://www.jackpota.com/terms-of-service,2026-09-10,published_terms
Jackpota,Silver Social Operations Limited,Not applicable; no ordinary prize redemption,No ordinary prize redemption,Not applicable; entertainment-only Gold Coins,Not applicable; no ordinary prize redemption,Not applicable; no ordinary prize redemption,2026-07-30,https://support.jackpota.com/hc/en-us/articles/12669339478812-Gold-Coin-Packages,2026-09-10,published_terms
Lucky Bunny,Not publicly confirmed,Not publicly verified,Not publicly verified,Cash: Not verified. Gift cards: Not verified.,Not publicly verified,Not publicly verified,,https://luckybunny.fun/,2026-09-10,published_terms
YAY Casino,Social Gaming LLC,Guide states 1-3 days for Visa virtual card; not an end-to-end guarantee. Rules allow verification up to one month after all requested documents and KYC/legal review.,"Bank transfer, Visa virtual card, Supported cryptocurrencies",Cash: 50 SC. Gift cards: Not verified.,Rules allow verification up to one month after all requested documents and KYC/legal review. The guide's 1-3 day Visa figure is not an end-to-end guarantee.,Not publicly verified,2026-08-20,https://www.yaycasino.com/,2026-09-10,published_terms
YAY Casino,Social Gaming LLC,Guide states 1-3 days for Visa virtual card; not an end-to-end guarantee. Rules allow verification up to one month after all requested documents and KYC/legal review.,"Bank transfer, Visa virtual card, Supported cryptocurrencies",Cash: 50 SC. Gift cards: Not verified.,Rules allow verification up to one month after all requested documents and KYC/legal review. The guide's 1-3 day Visa figure is not an end-to-end guarantee.,Not publicly verified,2026-08-20,https://www.yaycasino.com/promotions,2026-09-10,published_terms
YAY Casino,Social Gaming LLC,Guide states 1-3 days for Visa virtual card; not an end-to-end guarantee. Rules allow verification up to one month after all requested documents and KYC/legal review.,"Bank transfer, Visa virtual card, Supported cryptocurrencies",Cash: 50 SC. Gift cards: Not verified.,Rules allow verification up to one month after all requested documents and KYC/legal review. The guide's 1-3 day Visa figure is not an end-to-end guarantee.,Not publicly verified,2026-08-20,https://www.yaycasino.com/promotions/promo/online-casino-daily-login-bonus,2026-09-10,published_terms
YAY Casino,Social Gaming LLC,Guide states 1-3 days for Visa virtual card; not an end-to-end guarantee. Rules allow verification up to one month after all requested documents and KYC/legal review.,"Bank transfer, Visa virtual card, Supported cryptocurrencies",Cash: 50 SC. Gift cards: Not verified.,Rules allow verification up to one month after all requested documents and KYC/legal review. The guide's 1-3 day Visa figure is not an end-to-end guarantee.,Not publicly verified,2026-08-20,https://www.yaycasino.com/api/Document/ContentPage/sweeps-rules.pdf,2026-09-10,published_terms
YAY Casino,Social Gaming LLC,Guide states 1-3 days for Visa virtual card; not an end-to-end guarantee. Rules allow verification up to one month after all requested documents and KYC/legal review.,"Bank transfer, Visa virtual card, Supported cryptocurrencies",Cash: 50 SC. Gift cards: Not verified.,Rules allow verification up to one month after all requested documents and KYC/legal review. The guide's 1-3 day Visa figure is not an end-to-end guarantee.,Not publicly verified,2026-08-20,https://www.yaycasino.com/blog/how-to-redeem-your-sweeps-coins-at-yay-casino-2026-guide/,2026-09-10,published_terms
Dorados,RAFFLEFY LIMITED,"VIP1-2: within 72 hours; VIP3: 48 hours; VIP4-5: 24 hours. These are tier processing targets, not delivery guarantees; rules allow up to 10 business days and verification delays.",Not publicly verified,100 redeemable SC under the general prize-redemption rule. Gift-card minimum not verified.,Verification required; rules allow up to 10 business days for payment processing and further verification delays.,"Processing targets depend on VIP tier; rules allow up to 10 business days, not a measured delivery time.",,https://dorados.com/en,2026-09-10,published_terms
Dorados,RAFFLEFY LIMITED,"VIP1-2: within 72 hours; VIP3: 48 hours; VIP4-5: 24 hours. These are tier processing targets, not delivery guarantees; rules allow up to 10 business days and verification delays.",Not publicly verified,100 redeemable SC under the general prize-redemption rule. Gift-card minimum not verified.,Verification required; rules allow up to 10 business days for payment processing and further verification delays.,"Processing targets depend on VIP tier; rules allow up to 10 business days, not a measured delivery time.",,https://www.dorados.com/en/sweepstakes-rules,2026-09-10,published_terms
